序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
103,curated,SEATED_LEG_CURL,坐姿腿弯举,器械,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,calves,,,,,,,
104,curated,ROMANIAN_DL,罗马尼亚硬拉,杠铃,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,glutes|lowerBack,,,,,,,
105,curated,DB_RDL,哑铃罗马尼亚硬拉,哑铃,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,glutes|lowerBack,,,,,,,
106,curated,STIFF_LEG_DL,直腿硬拉,杠铃,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,glutes|lowerBack,,,,,,,
107,curated,NORDIC_CURL,北欧挺,自重,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,calves,,,,,,,
108,curated,HIP_ADDUCTION,髋内收,器械,腿,,腿,内收肌,,腿 > 内收肌,adductors,,,,,,,,
109,curated,BOX_SQUAT,箱式深蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams|lowerBack,,,,,,,
110,curated,GLUTE_HAM_RAISE,臀腿挺,自重,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,glutes|calves,,,,,,,
111,curated,STANDING_CALF_RAISE,站姿提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
112,curated,SEATED_CALF_RAISE,坐姿提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
113,curated,DB_CALF_RAISE,哑铃提踵,哑铃,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
114,curated,DONKEY_CALF_RAISE,驴式提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
490,imported,SMITH_RDL,史密斯罗马尼亚硬拉,史密斯,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
491,imported,DB_STEP_UP,哑铃上凳,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
492,imported,BB_STEP_UP,杠铃上凳,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
493,imported,BELT_SQUAT,犀牛腰带机深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
494,imported,LANDMINE_RDL,地雷杆罗马尼亚硬拉,杠铃,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
495,imported,PENDULUM_SQUAT,钟摆深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
496,imported,TRAP_BAR_SQUAT,六角杠深蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
497,imported,HACK_GOOD_MORNING,哈克机早安,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
498,imported,ZERCHER_SQUAT,泽奇深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
499,imported,DB_CURL_SQUAT,哑铃二头弯举深蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
500,imported,BODYWEIGHT_FRONT_SQUAT,前蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
501,imported,JEFFERSON_SQUAT,杰弗森深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
502,imported,SMITH_LUNGE,史密斯机箭步蹲,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
503,imported,CABLE_REVERSE_LEG_CURL,绳索辅助反向腿弯举,绳索,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
504,imported,SMITH_BULGARIAN_SQUAT,史密斯机保加利亚蹲,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
505,imported,SMITH_SEATED_SQUAT,史密斯机坐蹲,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
506,imported,SMITH_STIFF_LEG_DL,史密斯机直腿硬拉,史密斯,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
507,imported,DB_GOBLET_SQUAT,哑铃酒杯深蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
508,imported,DB_FRONT_SQUAT,哑铃前蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
509,imported,MACHINE_LEG_PRESS,器械倒蹬,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
510,imported,BB_BULGARIAN_SQUAT,杠铃保加利亚蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
511,imported,DB_BULGARIAN_SQUAT,哑铃保加利亚蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
512,imported,DB_SUMO_SQUAT,哑铃相扑蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
513,imported,SQUAT_JUMP,深蹲跳,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
514,imported,TOWEL_LEG_CURL,毛巾腿弯举,自重,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
515,imported,BODYWEIGHT_SQUAT,自重深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
516,imported,LUNGE_KICK,箭步踢腿,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
517,imported,BODYWEIGHT_BULGARIAN_SQUAT,自重保加利亚蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
518,imported,WEIGHTED_BULGARIAN_SQUAT,保加利亚蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
519,imported,BODYWEIGHT_PISTOL_SQUAT,手枪深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
520,imported,HAMMER_SQUAT,悍马机深蹲,悍马机,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
521,imported,BODYWEIGHT_LEG_CURL,自重腿弯举,自重,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
522,imported,JUMP_LUNGE,箭步跳,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
523,imported,SUSP_PISTOL_SQUAT_ASSISTED,TRX-手枪深蹲（手辅助）,悬挂,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
524,imported,SUSP_PISTOL_SQUAT,TRX-手枪深蹲,悬挂,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
525,imported,BAND_LUNGE,弹力带-箭步蹲,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
526,imported,BAND_LYING_LEG_CURL,弹力带-平躺腿弯举,弹力带,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
527,imported,BAND_STANDING_LEG_CURL,弹力带-站姿腿弯举,弹力带,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
528,imported,BAND_WALKING_LUNGE,弹力带-箭步走,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
529,imported,BAND_SQUAT,弹力带-深蹲,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
530,imported,BAND_SINGLE_LEG_SQUAT,弹力带-单腿深蹲,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
531,imported,SSB_SQUAT,ssb深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
532,imported,MACHINE_SINGLE_LEG_EXTENSION,器械单腿腿屈伸,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
533,imported,MACHINE_PLATE_LEG_EXTENSION,挂片器单腿屈伸,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
534,imported,REVERSE_LUNGE_KICK,后弓步踢腿,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
535,imported,JUMP_SQUAT,跳跃深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
536,imported,JUMP_STEP_UP,跳跃式上步,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
537,imported,HIGH_KNEE_SQUAT,高抬腿深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
538,imported,DB_LYING_LEG_CURL,俯卧哑铃腘绳肌弯举,哑铃,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
539,imported,BB_KNEELING_SQUAT,跪姿杠铃深蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
540,imported,SINGLE_LEG_QUARTER_SQUAT,单腿四分之一深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
541,imported,REVERSE_LUNGE,自重后弓步,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
542,imported,MACHINE_SEATED_SQUAT,器械坐姿深蹲,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
543,imported,LYING_LEG_PRESS,连动式仰卧腿举,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
544,imported,HAMMER_HIGH_SQUAT,悍马式高位深蹲,悍马机,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
545,imported,SMITH_SINGLE_LEG_LUNGE,史密斯单腿箭步蹲,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
546,imported,KB_FRONT_SQUAT,壶铃前蹲,壶铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
547,imported,COSSACK_SQUAT,哥萨克深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
548,imported,BB_SINGLE_LEG_EXTENSION,杠杆式单腿水平腿屈伸,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
549,imported,DB_LEVER_SUMO_SQUAT,哑铃杠杆握法相扑深蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
550,imported,STANDING_KNEE_RAISE,站立提膝,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
551,imported,STATIONARY_LUNGE,原地箭步蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
552,imported,DB_SINGLE_LEG_STEP_UP,哑铃单腿台阶上步,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
553,imported,SUSP_LEG_CURL,吊环腿弯举,悬挂,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
554,imported,SUSP_SPLIT_SQUAT,吊环分腿深蹲,悬挂,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
555,imported,BB_SEATED_LEG_EXTENSION,杠杆坐姿腿屈伸,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
556,imported,ELEVATED_CLOSE_SQUAT,垫高窄距深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
557,imported,DB_FRONT_RACK_LUNGE,哑铃前架箭步蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
558,imported,SLIDING_KNEE_TUCK,滑地屈膝后蹬,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
559,imported,BB_FRONT_RACK_LUNGE,杠铃前架弓步蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
560,imported,REVERSE_HACK_SQUAT,哈克机反向深蹲,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
561,imported,BAND_KNEELING_LEG_EXTENSION,弹力绳-跪姿腿屈伸,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
562,imported,BAND_STIFF_LEG_DEADLIFT,弹力绳-直腿硬拉,弹力带,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
563,imported,SMITH_FROG_KICKBACK,史密斯机青蛙后蹬,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
564,imported,MACHINE_LEG_KICKBACK,器械后蹬腿,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
565,imported,MACHINE_ROMANIAN_DL,挂片式罗马尼亚硬拉,器械,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
566,imported,MACHINE_KICKBACK,器械后蹬,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
567,imported,BB_LATERAL_LUNGE,杠铃侧弓步,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
568,imported,SINGLE_LEG_LEG_PRESS_45,45 度斜蹬机单腿腿举,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
569,imported,SQUAT_SIDE_KICK,深蹲侧踢,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
570,imported,SPLIT_SQUAT,分腿蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
571,imported,CABLE_STIFF_LEG_DEADLIFT,踏板箱绳索直腿硬拉,绳索,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
572,imported,BAND_BENT_OVER_LEG_KICKBACK,弹力带俯身单腿后踢,弹力带,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
573,imported,SUSP_STRAIGHT_LEG_CURL,吊环直腿臀腿弯举,悬挂,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,,,,,,,,
574,imported,SUSP_LATERAL_SQUAT,吊环侧蹲,悬挂,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
575,imported,WALL_SIT,靠墙静蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
576,imported,BAND_LATERAL_LUNGE,弹力带侧拉弓箭步（原地）,弹力带,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
577,imported,FORWARD_LUNGE,弓步,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
578,imported,KB_TURKISH_GET_UP_SQUAT,壶铃土耳其起身_深蹲式,壶铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
579,imported,KB_SINGLE_LEG_SQUAT,壶铃单腿深蹲,壶铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
580,imported,KB_GOBLET_SQUAT,壶铃杯式深蹲,壶铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
581,imported,SINGLE_LEG_PUSH_UP,单腿抬升俯卧撑,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
582,imported,TWIST_SQUAT,扭转深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
583,imported,MACHINE_SEATED_CALF_RAISE,坐姿器械提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
584,imported,MACHINE_STANDING_CALF_RAISE,站姿器械提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
585,imported,LEG_PRESS_CALF_RAISE,腿举机提踵,器械,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
586,imported,SMITH_CALF_RAISE,史密斯机提踵,史密斯,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
587,imported,DB_SINGLE_LEG_CALF_RAISE_VAR,哑铃单腿提踵_变式,哑铃,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
588,imported,DB_SINGLE_LEG_CALF_RAISE,哑铃单腿提踵,哑铃,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
589,imported,STANDING_BODYWEIGHT_CALF_RAISE,站姿自重提踵,自重,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
590,imported,BAND_STANDING_CALF_RAISE,站姿弹力带双腿提踵,弹力带,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
591,imported,SINGLE_LEG_FLOOR_CALF_RAISE,单腿地面提踵,自重,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
592,imported,SMITH_REVERSE_CALF_RAISE,史密斯反向提踵,史密斯,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
593,imported,SINGLE_LEG_STANDING_CALF_RAISE,单腿站姿提踵,自重,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
594,imported,SEATED_BB_CALF_RAISE,杠杆坐姿小腿屈伸,杠铃,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
595,imported,ELEVATED_STANDING_CALF_RAISE,垫高站姿提踵_椅子辅助,自重,小腿,,腿,小腿,,腿 > 小腿,calves,,,,,,,,
